,id,username,text,retweet_count,like_count,created_at
0,1616093066473136130,initiaraandini,"RT @zivamagnolyeah: Semua akan indah pada
hal enggak 🤡",8560,0,2023-01-19 15:19:47+00:00
1,1603968659898404864,initiaraandini,"RT @awdella_: Tahun ini aku bertemu dengan versiku yg paling cape, tapi juga paling kuat.😊",1677,0,2022-12-17 04:21:43+00:00
2,1599810996616704000,initiaraandini,"RT @BandwagonAsia: Spotify Indonesia reveals most-streamed artists, songs, albums in 2022 Wrapped – #Tulus, #BTS, #OliviaRodrigo, #Mahalini…",47,0,2022-12-05 17:00:39+00:00
3,1597270757847207936,initiaraandini,https://t.co/nHyuoeNEpc,88,802,2022-11-28 16:46:39+00:00
4,1597269629381984256,initiaraandini,YES PLIS https://t.co/72xTqbZqWD,45,1479,2022-11-28 16:42:10+00:00
5,1595973895877984256,initiaraandini,"RT @niteefury: @zivamagnolyeah Mandi = jadi cakep
Jd cakep = banyak yg naksir
Bnyk yg naksir = banyak yg sirik
Bnyk yg sirik = diguna guna…",515,0,2022-11-25 02:53:23+00:00
6,1595973888219176960,initiaraandini,RT @zivamagnolyeah: duh harus bgt ya mandi? males anj,7808,0,2022-11-25 02:53:21+00:00
7,1592045976524840960,initiaraandini,"RT @MooTiaraOffici1: Saksikan penampilan spesial Tiara Andini @initiaraandini dalam penghargaan SCTV AWARDS 2022 😍
Senin, 14 November 2022…",17,0,2022-11-14 06:45:14+00:00
8,1591793184434446337,initiaraandini,"RT @Starhitsid: SIAP SIAP GUYS! KOTAK MUSIK JURNAL, sebentar lagi akan menyapa dan kita akan nyanyi bareng bareng ya!Mau nonton siapa nih k…",17,0,2022-11-13 14:00:43+00:00
9,1589846011698348032,initiaraandini,RT @_nclay: @initiaraandini TITITIIII MO NGABARINN Salah satu wishlist aku liat konser kamu ternyata bisaaaa tercapaiii ti seneng bgtttttt…,4,0,2022-11-08 05:03:21+00:00
10,1589845828688310274,initiaraandini,RT @zivamagnolyeah: Manusia kalo udah sembunyi di balik fake account tuh jarinya jahat bukan main. Serasa jadi manusia paling sempurna samp…,1498,0,2022-11-08 05:02:38+00:00
